Date,Open,High,Low,Close,Volume,Adj Close
2013-12-17,0.10,0.10,0.10,0.10,5512100,0.10
2013-12-16,0.11,0.11,0.10,0.10,6066500,0.10
2013-12-13,0.11,0.11,0.10,0.11,3571800,0.11
2013-12-12,0.10,0.11,0.10,0.11,5825200,0.11
2013-12-11,0.10,0.10,0.10,0.10,6855500,0.10
2013-12-10,0.10,0.11,0.09,0.10,19880500,0.10
2013-12-09,0.11,0.12,0.11,0.11,4418000,0.11
2013-12-06,0.11,0.11,0.11,0.11,3558000,0.11
2013-12-05,0.11,0.11,0.10,0.11,2339900,0.11
2013-12-04,0.11,0.11,0.10,0.11,5333700,0.11
2013-12-03,0.11,0.11,0.10,0.11,4524300,0.11
2013-12-02,0.12,0.12,0.11,0.11,5700400,0.11
2013-11-29,0.12,0.12,0.12,0.12,5664000,0.12
2013-11-27,0.09,0.12,0.09,0.12,15641500,0.12
2013-11-26,0.10,0.10,0.09,0.09,26314900,0.09
2013-11-25,0.11,0.11,0.10,0.10,23177500,0.10
2013-11-22,0.11,0.12,0.11,0.11,11671100,0.11
2013-11-21,0.11,0.12,0.11,0.11,23466900,0.11
2013-11-20,0.13,0.13,0.11,0.12,14821100,0.12
2013-11-19,0.13,0.13,0.12,0.13,9430700,0.13
2013-11-18,0.13,0.14,0.12,0.13,12940600,0.13
2013-11-15,0.14,0.14,0.13,0.13,12734200,0.13
2013-11-14,0.14,0.14,0.14,0.14,2835900,0.14
2013-11-13,0.14,0.14,0.14,0.14,4612500,0.14
2013-11-12,0.14,0.14,0.14,0.14,2958800,0.14
2013-11-11,0.15,0.15,0.14,0.14,4249200,0.14
2013-11-08,0.14,0.14,0.14,0.14,4577000,0.14
2013-11-07,0.14,0.14,0.14,0.14,000,0.14
2013-11-06,0.14,0.14,0.14,0.14,3339200,0.14
2013-11-05,0.14,0.14,0.14,0.14,4901000,0.14
2013-11-04,0.14,0.15,0.14,0.14,3114500,0.14
2013-11-01,0.14,0.14,0.14,0.14,4587800,0.14
2013-10-31,0.14,0.15,0.14,0.14,3648600,0.14
2013-10-30,0.14,0.14,0.14,0.14,3350800,0.14
2013-10-29,0.15,0.15,0.14,0.14,2935500,0.14
2013-10-28,0.15,0.15,0.14,0.15,6364000,0.15
